,id,category
238,448,2.0
239,449,2.0
240,450,2.0
241,451,2.0
242,452,2.0
243,453,2.0
244,454,2.0
245,455,2.0
246,456,2.0
247,457,2.0
248,458,2.0
249,459,2.0
250,460,2.0
251,461,2.0
252,462,2.0
253,463,2.0
254,464,2.0
255,465,2.0
256,466,2.0
257,467,2.0
258,468,2.0
259,469,2.0
260,470,2.0
261,471,2.0
262,472,2.0
263,473,2.0
264,474,2.0
265,475,2.0
266,476,2.0
267,477,2.0
268,478,2.0
269,479,2.0
270,480,2.0
271,481,2.0
272,482,2.0
273,483,2.0
274,484,2.0
275,485,2.0
276,486,2.0
277,487,2.0
278,488,2.0
279,489,2.0
280,490,2.0
281,491,2.0
282,492,2.0
283,493,2.0
284,494,2.0
285,495,2.0
286,496,2.0
287,497,2.0
288,498,2.0
289,499,2.0
290,500,2.0
291,501,2.0
292,502,2.0
293,503,2.0
294,504,2.0
295,505,2.0
296,506,2.0
297,507,2.0
298,508,2.0
299,509,2.0
300,510,2.0
301,511,2.0
302,512,2.0
303,513,2.0
304,514,2.0
305,515,2.0
306,516,2.0
307,517,2.0
308,518,2.0
309,519,2.0
310,520,2.0
311,521,2.0
312,522,2.0
313,523,2.0
314,524,2.0
315,525,2.0
316,526,2.0
317,527,2.0
318,528,2.0
319,529,2.0
320,530,2.0
321,531,2.0
322,532,2.0
323,533,2.0
324,534,2.0
325,535,2.0
326,536,2.0
327,537,2.0
328,538,2.0
329,539,2.0
330,540,2.0
331,541,2.0
332,542,2.0
333,543,2.0
334,544,2.0
335,545,2.0
336,546,2.0
337,547,2.0
338,548,2.0
339,549,2.0
340,550,2.0
341,551,2.0
342,552,2.0
343,553,2.0
344,554,2.0
345,555,2.0
346,556,2.0
347,557,2.0
348,558,2.0
349,559,2.0
350,560,2.0
351,561,2.0
352,562,2.0
353,563,2.0
354,564,2.0
355,565,2.0
356,566,2.0
357,567,2.0
358,568,2.0
359,569,2.0
360,570,2.0
361,571,2.0
362,572,2.0
363,573,2.0
364,574,2.0
365,575,2.0
366,576,2.0
367,577,2.0
368,578,2.0
