id,customer_id,status,total_amount_products,total_amount_services,discount,total_amount,received_at,realized_at,delivery_at,equipments_description,defects_description,technical_report,warranty,created_at
18,12,5,0.00,0.00,0.00,0.00,1566428757571,1566426472450,1567525048079,tampador linha amaciante,batidas estalos parte superior tapador,motor e eixo suporte de cabeça de torque rolamentos trocar. ,,1566426472450
19,12,4,0,0,0.00,0.00,1566429004266,1566429004266,,,peça retorno ( trocar),verificar ????,,1566429004266
20,13,5,0.00,0.00,0.00,0.00,1566429084998,1614354560473,1614354561977,,suporte da régua dentada gabarito de gargalo com roscas espanadas,refazer rosca e colocar manipo no lugar dos estojos ,,1614354560473
21,13,5,0.00,0.00,0.00,0.00,1566429235239,1566429235239,,,mangueira de retorno bico n° 10 furada,trocar mangueira,,1566429235239
22,18,5,0.00,0.00,0.00,0.00,1566429498647,1566429498647,,fechadeira linha 1 e 2 litros ,rodízio com freio quebrado,trocar ( comprado sapatas fixas).,,1566429498647
23,18,5,0.00,0.00,0.00,0.00,1566429607255,1566429607255,,mesa de embalagens,chapa solta,soldar,,1566429607255
26,19,5,0.00,0.00,0.00,0.00,1566429893909,1567439135171,,tampador,folga no eixo da estrela ,"trocar rolamento, mudar estrutura, fabricar eixo novo, sincronizar estrela, refazer mancal cruz de malta, tirar infiltração da mesa.",,1567439135171
27,20,5,0.00,0.00,0.00,0.00,1566430036491,1566430036491,,,base solta,colocar guia de curso ,,1566430036491
28,21,5,150.00,208.00,0.00,358.00,1566430247984,1566430247984,1578507662240,fabricação guincho para plataforma ,plataforma perigosa e ineficiente,fabricação ,,1566430247984
29,4,5,35.00,13.00,0.00,48.00,1566475689355,1566475695929,1566475697878,,plataforma das garrafas não sobe,"ar comprimido registro fechado, aproveitado para abastecer lubrifil ",,1566475695929
30,17,5,6.50,13.00,0.00,19.50,1566476034817,1566476050284,1566476052824,,embaladora a vácuo deixando fardo frouxo,"entrada de ar falso na tampa, limpeza e ajuste da vedação ",,1566476050284
31,21,5,15.00,26.00,0.00,41.00,1566478324838,1566478333408,1566478335363,,motor bomba parafuso reserva queimando motor,"motor sem blindagem inadequado para o uso. trocar por motor blindado - negado 
colocar capa de proteção "" telhado"" - feito.",,1566478333408
32,3,5,0.20,13.00,0.00,13.20,1566481524392,1566481538554,1566481540460,,não libera tampa para o taoador,"sensor leitura das garrafas fora de sincronia, ajustado.",,1566481538554
33,4,5,97.00,52.00,0.00,149.00,1566482174805,1566588635483,1566944751127,,"vazamento , caixa rachada ","levado caixa para aplicação de fibra, trocado válvula acionadora, reformado pistão pneumático, trocado mangueiras pneumáticas, refeito soldas da estrutura.",,1566588635483
34,21,5,0.00,0.00,0.00,0.00,1566498917982,1566498935706,,máquina de esponja,"rolamento eixo aranha quebrado, eixo morto, eixo tração do fio rolamento quebrado, eixo morto.","troca de rolamento, refazer acentamento de rolamentos, fabricar arame da aranha, ( fabricado dois eixos novos )
",,1566498935706
35,2,5,0.00,476.00,0.00,476.00,1549442729660,1566467106319,1566812739002,,tanque de retorno vazamento,levar para conserto com revestimento em fibra ,,1566467106319
36,14,5,0.00,0.00,0.00,0.00,1566818841777,1566818863863,,moto esmeril,moto esmeril não liga ,"queimado, levar para rebobinagem/ comprar novo.",,1566818863863
37,22,5,0.00,0.00,0.00,0.00,1566821104334,1566821150002,1566832672628,extrusora 01,bomba perdeu pressao,"compra de filtro, verificar bomba, / limpeza filtro, verificação de bomba não aprovado. ( foi desmontado motor e tampa do reservatório e desobstruído filtro entrada da bomba e remontado).","sem garantia : bomba precisando de retifica, filtro velho saturado, reservatório saturado de sujeira. óleo velho saturado, ",1566821150002
38,2,5,0.00,0.00,0.00,0.00,1566838379820,1566838395182,1566838396952,,vedação de gargalo vazando.,trocar vedação ( 16 peças ),,1566838395182
39,11,5,0.00,0.00,0.00,0.00,1566895956188,1566895956188,,chupim da balança ,correia cantando,apertar,,1566895956188
41,3,5,0.00,0.00,0.00,0.00,1566900768034,1578507610343,1614272281247,máquina água 1 e 2 litros ,fazer tubulação nova para lavação das máquinas.,colocado mangueira de jardim próximo a máquina de 5 litros ,,1578507610343
42,18,5,0.00,0.00,0.00,0.00,1566900886301,1566991057438,1566991061197,,máquina fexadeira de caixa água sanitária estragando fita.,trocar navalha inferior (trocado).,,1566991057438
43,4,5,0.00,0.00,0.00,0.00,1566991255696,1566991266330,1566991268000,,vazamento bicos.,trocar vedações e polir haste vedante. ( feito).,,1566991266330
44,10,5,0.00,0.00,0.00,0.00,1566991634758,1566991634758,,tanque amaciante ,dois registros com vazamento ,trocar ,,1566991634758
45,10,5,0.00,0.00,0.00,0.00,1566991802252,1579112362088,,desinfetante,colocar registro para limpeza do tanque ,,Vairton ,1579112362088
46,21,5,0.00,0.00,0.00,0.00,1566300814669,1567094531924,,bomba caracol tacho do sabão ( bomba principal),não tem pressão.,reforma / terceiros / peças novas/ trocar todos os componentes internos.,,1567094531924
49,2,5,0.00,0.00,0.00,0.00,1567080422173,1567080431122,1567080433412,,bicos 2 e 15 entupidos.,desmontado e retirado sobras de plástico ,,1567080431122
50,2,5,0.00,0.00,0.00,0.00,1567080569658,1567080586875,1567080588511,,tampa sem aperto.,verificado e ajustado cabeça de torque.tamoas com rebarba.,,1567080586875
51,18,5,0.00,40.00,0.00,40.00,1567080993696,1567081009787,,fechadoras geral,afiar navalhas reserva ,mandado para terceiros.,,1567081009787
52,22,5,0.00,0.00,0.00,0.00,1567100106993,1567100152089,,extrusora 01,sem pressão ,retirado bomba novamente para levar para retifica / trocar filtro - negado / filtrar óleo do reservatório - negado.,,1567100152089
53,22,5,0.00,0.00,0.00,0.00,1567165408576,1567165422778,1567165427675,extrusora 01,"montar bomba que veio do conserto.
",montagem de bomba e motor e solenóides.,,1567165422778
54,18,5,0.00,0.00,0.00,0.00,1567430418781,1567430450940,1567430453213,fechadeira desinfetante.,condutor de fita quebrado / fabricado novo com lata de tinta / muito fino ideal comprar original .,fabricado com material inadequado pela terceira vez. ,,1567430450940
55,19,5,0.00,0.00,0.00,0.00,1567430635604,1567430648086,1567430649773,,envase devagar bomba demorada.,limpado filtros / ajustado tempos e velocidade de bomba / tirado vazamentos.,,1567430648086
56,5,5,0.00,0.00,0.00,0.00,1567430820810,1567430834576,1567430836732,,água na rede ,purgador compressor e secador ,,1567430834576
57,22,5,0,0,0.00,0.00,1567430989995,1567431001012,1567431002700,,parafusos de molde travados,cortado todos,,1567431001012
58,4,5,0.00,0.00,0.00,0.00,1567431470209,1567431470209,,,bóia quebrada ,comprar nova ( boia 3/4 com flutuador ),,1567431470209
59,10,5,0.00,0.00,0.00,0.00,1567431705453,1579112303608,,,fabricar alça para bambona 50 l.,fabricação oficina ,,1579112303608
60,23,5,0.00,0.00,0.00,0.00,1567439899728,1568312263859,,,portão dobradiça quebrada,soldar ,,1568312263859
61,10,5,0.00,0.00,0.00,0.00,1567451449865,1567451449865,,macaco hidráulico virador de tambor,cinta quebrada,fazer novos ganchos da cinta ,parafuso 3/ 8 20 pcs,1567451449865
62,6,5,0.00,0.00,0.00,0.00,1567509346807,1567509385142,1567509386896,,deixado encalhar uma toalha debaixo da calha do tamoador,desmontado e montado e regulado.,,1567509385142
63,4,5,0.00,0.00,0.00,0.00,1567510450379,1567510461974,1567510463311,,trocar bóia ,trocado bóia ,,1567510461974
64,18,5,0.00,0.00,0.00,0.00,1567511886892,1567511901669,1567511903374,fechadeira de caixa desinfetante ,travando engalhando,muito apertada trancando as caixas.,,1567511901669
65,18,5,0.00,0.00,0.00,0.00,1567519276034,1567519291308,1567519294116,fechadeira água sabitaria,condutor de fita inferior quebrado,feito chapinha nova ,,1567519291308
66,18,5,0.00,0.00,0.00,0.00,1567519429468,1567519438983,,fechadeira desinfetante,motor arrasto inferior com stator de partida queimado,"trocar stator , solda protecao de navalhas , lubrificação , chapinha condutora de fita ",,1567519438983
67,14,5,0.00,0.00,0.00,0.00,1567526276177,1567526293519,1567526295274,,base dos pistões quebrado,soldado.,,1567526293519
68,16,5,0.00,13.00,0.00,13.00,1578508025887,1578508035951,1578508037386,moinho martelo ,troca de peneiras furadas,corpo metálico perfurou 3 segmentos da peneira,,1578508035951
69,18,5,0.00,39.00,0.00,39.00,1578421832287,1578508234726,1578508236498,fechadeira de caixa desinfetante ,motor tapete inferior não liga ,capacitor de partida queimado / trocar ,,1578508234726
70,18,5,0.00,0.00,0.00,0.00,1578508376414,1578594803634,1578508406475,fechadeira de caixa detergente 500 ml,inverter rotação dos motores ,emprestada para o desinfetante e tomada com ligação inversa ,,1578594803634
71,18,5,0.00,0.00,0.00,0.00,1578508510833,1578508518390,1578508519793,fechadeira de caixa detergente 500 ml,inverter rotação ,retornou do empréstimo para o desinfetante ,,1578508518390
72,19,5,0.00,0.00,0.00,0.00,1578508635322,1578508653763,1578508655702,,vazamento no gargalo máquina desrregulada,nivelamento do pente porta bicos e nivelamento de tapete de transporte ,,1578508653763
73,19,5,0.00,0.00,0.00,0.00,1578508827270,1578508880767,1578508882792,tampador ,regulagem ,muita folga na cruz de malta  / fabricar nova ,,1578508880767
74,24,5,0.00,0.00,0.00,0.00,1578422675710,1578595480670,1578509085081,tubulação retorno de lavação / retorno para sabão ,retorno de lavação para sabão indo sem controle,montar tubulação nova dos tanques para depósito do retorno do sabão ,,1578595480670
75,4,5,0.00,0.00,0.00,0.00,1578509248845,1578509268142,1578509269829,,boia quebrada ,"trocado boia / pouca vazão comprar maior ( 3/4"") ",,1578509268142
76,3,5,0.00,0.00,0.00,0.00,1578509351106,1578509365537,1578916207555,,mangueira rachada / troca aguarda material ,trocado mangueira e abraçadeira ,,1578509365537
77,24,5,0.00,0.00,0.00,0.00,1578509447780,1578509511888,1578600098108,tanque água sanitária 6000l,vazamento acoplador da saída do tanque ,fabricar acoplador novo ,,1578509511888
78,21,5,0.00,0.00,0.00,0.00,1578509743143,1578509766495,,máquina de esponjas ,aranha com garfos quebrados ,fabricar com arame inox 4mm,,1578509766495
79,24,5,0.00,0.00,0.00,0.00,1578509927347,1614354625937,1614354627475,tubulação de água limpa abastecer tanques de elaboração ,tubulação com pouca vazão ,aumentar bitola dos tubos / rede nova ,,1614354625937
80,26,5,0.00,0.00,0.00,0.00,1578569204327,1578569243759,1578569245364,suporte de bateria,fundo podre bateria caindo ,refeito fundo do suporte ,,1578569243759
81,3,5,0.00,0.00,0.00,0.00,1578569341579,1578569359885,1578569361272,bico de envase,porca do intermediário quebrada ,troca por porca de PVC nova ,,1578569359885
82,2,5,0.00,0.00,0.00,0.00,1578487170533,1578573566023,1578573567308,2 bicos quebrados ,troca ,,,1578573566023
83,27,1,0.00,0.00,0.00,0.00,1578573756529,1578573756529,,tanque superior de retorno de água ,vazamentos diversos / molhando pátio e oficina ,substituir tanque de alvenaria por caixa de fibra ,,1578573756529
84,28,5,0.00,0.00,0.00,0.00,1578599825815,1578599865705,1578599867344,ventilador máquina esponja ,motor travado ,destravado motor rodou por 1 hora e queimou / descartado.,,1578599865705
85,24,5,0.00,0.00,0.00,0.00,1578599953261,1578599963486,1578599964889,tubulação tanque detergente 1 litro soltou conexão logo após o tanque de armazenamento ,pisado na conexão por acidente ,colado novamente ,,1578599963486
86,23,5,0.00,0.00,0.00,0.00,1578600151463,1578600170707,1578600172060,silo de estocagem de milho ,quebra do suporte de cabo elétrico do varredor ,desempeno e recolocar suporte ,,1578600170707
87,29,5,0.00,0.00,0.00,0.00,1578600299933,1578600355154,1578600356825,geladeira cada Sr. Zavaski,falta de molas das formas de gelo ,fabricar com arame inox ,,1578600355154
88,4,5,0.00,0.00,0.00,0.00,1578916230184,1578916241123,1578916242576,,trancando e lento ,lubrificar / encher reservatório lubrifil/ lubrificar vedações ,,1578916241123
89,30,5,0.00,0.00,0.00,0.00,1578934238953,1578934295854,1578934297392,cilindro de subida da sapata lento e vazamento na boia,válvula reguladora de expurgo quebrada tubulação fora de posição forçando a bóia ,troca de válvula de expurgo e posicionado tubulação ,,1578934295854
90,21,5,0.00,0.00,0.00,0.00,1578940375040,1578940388970,1578940390557,máquina esponja ,ventilador quebrafo,"lubrificar eixo , prender telas, revisar elétrica ",,1578940388970
91,20,5,0.00,0.00,0.00,0.00,1579031836128,1579031853686,1579031855155,,mangueira ar vazando ,trocado mangueira 6mm,,1579031853686
92,18,5,0.00,0.00,0.00,0.00,1579031918199,1579031933469,1579031934873,fechadeira de caixa desinfetante ,não liga ,cabo de alimentação arrancado na entrada da chave / refeito instalação ,,1579031933469
93,28,5,0.00,0.00,0.00,0.00,1579032057586,1579032068024,1579032070163,ventilador de parede detergente 500ml,não liga,tirado para verificar / colocar novo ,,1579032068024
94,18,5,0.00,0.00,0.00,0.00,1579103638305,1579103658244,1579103660032,fechadeira de caixa água sanitária 1l,fileira de entrada faltando parafuso rolo caindo ,colocado parafusos novos ,,1579103658244
95,3,5,0.00,0.00,0.00,0.00,1579103731822,1579103747704,1579103749224,bomba de retorno tipo girafa,fazer instalação para bomba girafa trifásica ,instalado relé 24v contactar 220/380 alimentação cabimento e instalação de comando de boia de nível 24V,,1579103747704
96,19,5,0.00,0.00,0.00,0.00,1579103928130,1579103943345,1579282621394,tubo saída do retorno com conexão 50mm quebrada,conexão quebrada ,trocar ,,1579103943345
97,10,5,0.00,0.00,0.00,0.00,1579282673994,1579282675414,1579282676668,bomba filtros água da produção ,fazer saída pra drenagem fundo da caixa ,tubulação nova entrada bomba com um registro de purga da rede ,,1579282675414
98,18,5,0.00,0.00,0.00,0.00,1579282817106,1579282818341,1579282820078,fechadeira de caixa desinfetante ,fita saindo de posição de início ,fabricado chapa guia fita ,,1579282818341
99,6,5,0.00,0.00,0.00,0.00,1579282894235,1579282911157,1579282912460,tampador,soltando tampa do gargalo,ajuste de guias ,,1579282911157
100,6,5,0.00,0.00,0.00,0.00,1579282987687,1579282988903,1579282990825,rosca divisora de frascos ,amassando garrafas,ajuste ,,1579282988903
101,2,5,0.00,0.00,0.00,0.00,1579283032285,1579283048955,1579283047334,,tapete de transporte parando ,moto redutor com problemas motor em curto ,,1579283048955
102,32,0,850.00,350.00,0.00,1200.00,1596036352429,1596036352429,,painel elétrico melhoria ,contator a bomba do porão ruidoso e falhando contato/ bombas queimando selo / derretendo tubulação / rodando em vácuo / falta de desligamento automático de atingimento de nível . ,fazer novo painel (padronizar) instalação de bóias de nível ( orçamento anexo ),,1596036352429
103,21,5,0.00,0.00,0.00,0.00,1596471064023,1596471087327,1596471090018,cortador de sabão de coco ,alavanca da chave trifásica de partida da mesa quebrada ,soldar ( alavanca com cabo especial fabricado ) ,,1596471087327
104,3,5,0.00,0.00,0.00,0.00,1596471185863,1596471201499,1596471202970,cabeças de torque envase água 1 litro,pouco torque / Tamba aberta ,regulagem ,,1596471201499
105,33,5,0.00,0.00,0.00,0.00,1596471389376,1596471450106,1596471451811,tanque de elaboração álcool gel ,registro de entrada de água vazamento ,troca de registro ,,1596471450106
106,1,5,0.00,0.00,0.00,0.00,1596471532895,1596471546817,1596471548137,embaladora de vela ,trancamento da corrente tração dos molhos ,destrancado ,,1596471546817
107,13,5,0.00,0.00,0.00,0.00,1596472547548,1596472564840,,,usinar espigão de um bico de envase / troca de mangueira .,acrescentar tubo maior dimensão para usinagem com medida correta ,,1596472564840
108,3,5,0.00,0.00,0.00,0.00,1596477755465,1596477766033,1596477767537,cabeça de torque nume 1 ,torque muito alto amassando garrafas ,regular ,,1596477766033
109,3,5,0.00,0.00,0.00,0.00,1596477880727,1596477901657,1596477903114,aplicador de tampa ,tampa caindo ,regular com solda gatinho de trava expurgo de tampa ,,1596477901657
110,19,5,0.00,0.00,0.00,0.00,1596479936243,1596479960090,1596479961778,filtro de espuma ,passando espuma do retorno ,trocar telas e colocar mais telas noa última camada ( testar ) ,,1596479960090
111,34,5,0.00,0.00,0.00,0.00,1596810619541,1596810767561,1598629962931,agitador tanque detergente clorado ,pas do agitador enferrujadas e contaminando produto,fabricar eixo e pás de inox ,acompanhar produção e aplicar resina derakene 411-350 ,1596810767561
112,22,5,0.00,0.00,0.00,0.00,1596810911387,1598629938620,1598629936398,extrusora ,recolocar grades de proteção ,trocar telas e pintura ,,1598629938620
113,19,5,0.00,0.00,0.00,0.00,1596811006980,1596811057925,1598629910734,envasadora sem cloro ,correia transporte com polia dentada de tração gasta ,colocar polia nova / trocar segmento de correia prender chapas de transferência de garrafas / ,,1596811057925
114,14,5,0.00,0.00,0.00,0.00,1596811226757,1596811243209,1598629874175,vela sete dias ,limpeza / pintura ,abrir nova janela de limpeza ,,1596811243209
115,21,5,0.00,0.00,0.00,0.00,1596811332495,1596811355222,1596811356743,máquina de esponjas ,hastes da aranha quebrada ,fabricar 6 hastes novas conforme gabarito ,,1596811355222
116,33,5,0.00,0.00,0.00,0.00,1596811453454,1596811477799,1596811482057,tanque elaboração ,limpeza e revisão tanque / bomba / troca de parafusos por inox ,fazer limpeza a cada produção ,,1596811477799
117,34,5,0.00,0.00,0.00,0.00,1596811621297,1596811637070,1596811638635,tanque elaboração ,colocar mangueira para saída da água de limpeza / provisória ,colocado pós bomba ,,1596811637070
118,34,5,29.00,39.00,0.00,68.00,1596812068946,1596812068946,1598629856881,tanque de laboração ,lavação e limpeza,fazer instalação de água para limpeza dos tanques e piso ,orçamento de melhoria prioridade nível 3,1596812068946
119,35,4,2.00,50.00,0.00,52.00,1596815102768,1596815173962,1603709877530,porta sala de compressores ,dobradiças gonzo quebrada ,soldar dobradiças novas / pintura e instalar pega mão e trava (verificando mudanças em toda sala de compressores),,1596815173962
120,18,5,0.00,0.00,0.00,0.00,1597058118899,1597058145125,1597063057350,fechadeira de caixa água 5 litros ,rolos de entrada quebrados arraste da fita solto / suporte porta fita desnivelado / afiar facas  ,refazer alojamento de rolos e fabricar rolo novo / prender porta fitas / fabricar arroela de silicone bobina de fita / nivelar máquina  ,,1597058145125
121,3,5,0.00,0.00,0.00,0.00,1597061897845,1597061911836,1598629768141,envasadora água 1 litro ,mangueiras ( 3) rasgada ,trocar mangueiras e abraçadeiras ,,1597061911836
122,24,5,25.00,75.00,0.00,100.00,1597062011019,1597062061681,1598629723847,tanque reservatório talco com vazamento / troca de dois registros na linha do talco ( 50mm) com adaptador / fazer rede nova do citrus e talco para 5 litros ,3 registro 32mm / 3 t 32mm / t 50 mm redução para 32mm / joelho 32mm ,,,1597062061681
123,4,5,1.00,50.00,0.00,51.00,1597064504515,1597064527163,1617044180758,,fazer plataforma nova em PVC ,plataforma empenada não permite alinhamento dos bicos ( causando vazamentos / perda de água sanitária e molhando operador ) /////material não comprado feito novo paleativo com parafusos /////,finalizado O.S. não veio material solicitado / colocado arrebite e solda ,1597064527163
124,4,5,2.00,50.00,0.00,52.00,1597064586223,1598629490260,1598629492321,,vazamento bicos ,troca de vedação / vedação nova de P.U.  ( não foi comprado em P.U.),,1598629490260
125,3,5,0.00,0.00,0.00,0.00,1597082017623,1597089619928,1597089621555,,caindo garrafas na entrada da mesa acumuladora ,"arrastado mesa com paleteira / novamente . "" pedido para colocar a mesa no local correto .",,1597089619928
126,36,5,0.00,0.00,0.00,0.00,1597338776551,1597338868158,1597338869895,,vibrando barulhando ,apertar corrente ,,1597338868158
127,22,5,0.00,0.00,0.00,0.00,1598630038915,1598630135632,1598630137319,injetora ,funil de alimentação com base podre e quebrada ,fazer base nova e pintura ,,1598630135632
128,14,5,0.00,0.00,0.00,0.00,1598868604540,1598868621076,1598962292642,máquina vela 7 dias ,registro entrada de água com vazamento ,registro 32mm rachado trocar registro e conexão joelho ,,1598868621076
129,16,5,0.00,25.00,0.00,25.00,1599083539710,1599083541666,1599083543988,moinho martelo ,peneiras furada,troca de peneiras ( 2),,1599083541666
130,2,5,0.00,50.00,0.00,50.00,1599048704153,1599048720445,1599048721832,torque de tampas e aplicador de tampad,cabeça n°3 soltando tampas ,"ajuste disco alinhador de gargalo , lubrificação .",,1599048720445
131,37,5,0.00,40.00,0.00,40.00,1599048916303,1599049004745,1599049006065,roldana de fio ( n° 1) ,fio caindo com facilidade ,aprofundar corte guia em 12 mm,,1599049004745
132,38,5,36.00,50.00,0.00,86.00,1598963415562,1598963412874,1598963419089,tobatta ,acelerador ( manivela) quebrada amarrada com arame .,fabricar conjunto manivela novo ,,1598963412874
133,16,5,90.00,75.00,0.00,165.00,1599053684371,1599053697933,1599242753386,roteador de café ,furos saindo fogo para direção do roteador ,fabricar chapas para tapar os furos ( 3 pontos críticos ) ,,1599053697933
134,1,5,0.00,230.00,0.00,230.00,1599069495629,1599069515212,1599155922329,controladora clp ,teclado quebrado ,consertar puch boton / trocar capa protetora ,,1599069515212
135,19,5,0.00,25.00,0.00,25.00,1599075251966,1599075253285,1599075254605,tapador,parado não liga ,botoeira cogumelo cabo rompido / trocado cabo e com ponteiras prezadas ,,1599075253285
136,31,5,0.00,25.00,0.00,25.00,1599075396161,1599075420858,1599075422127,bomba do rio pouco volume ,entupimento na válvula de ponta de bomba ,trocado válvula por maior ,,1599075420858
137,42,5,120.00,25.00,0.00,145.00,1599083047942,1599083064833,1599083066504,tanque parafina suja ,cano quebrado ,"trocar conexão e fazer rosca 3/4"" em tubo ",,1599083064833
138,23,5,8.00,25.00,0.00,33.00,1599083939589,1599083972699,1599083974203,moinho martelo ,peneira furada (2),remendo ,,1599083972699
139,23,5,0.00,25.00,0.00,25.00,1599084063196,1599084082242,1599084085015,moinho martelo,correias grunhindo ,apertar correias ( troca) urgente ,,1599084082242
140,23,5,140.00,25.00,0.00,165.00,1599084320944,1599084335379,,moinho martelo ,correias gastas ,troca de correias ,,1599084335379
141,4,5,0.00,0.00,0.00,0.00,1599141435351,1599141454004,1599141455323,tampador ,reclamação de não estar fechando ,sem defeito ( Operacional ),,1599141454004
142,23,5,0.00,0.00,0.00,0.00,1599141541430,1599141592101,1599141593471,elevador caneco silo ,revisão ,revisão e lubrificar corrente e mancal ,,1599141592101
143,4,5,0.00,0.00,0.00,0.00,1599141690251,1599141712253,1599141713740,bomba clorado ,reclamação de lentidão ,sem defeito ( lentidão dos bicos que não dão para gel ) bomba ok,,1599141712253
144,3,5,0.00,0.00,0.00,0.00,1599141838536,1599141853793,1599141855096,tampador ,cabeça 5 pouco torque ,regulagem disco divisor e regulagem cabeça de torque ,,1599141853793
145,32,5,0.00,0.00,0.00,0.00,1599141968100,1599142003384,1603709839467,captação de retorno tanques do porão ,espuma indo para Rio próximo a captação de água ,ralos da fábrica não descarrega pra tanque de tratamento ( mudar captação ),,1599142003384
146,24,5,0.00,0.00,0.00,0.00,1599142261634,1603397377151,1603915786107,bomba do cloro ,"vazamento joelho entrada ( 1"") verificar possibilidade de fechar a purga / bomba travada ",bomba com rotor solto / usinagem / voltou da usinagem / aguarda montagem assim que a reserva apresentar problema ,,1603397377151
147,14,5,0.00,0.00,0.00,0.00,1599056087987,1599056085164,1599056090744,raspadores de chão,gastos ,fabricado 8 raspadores novos ,,1599056085164
148,14,5,0.00,0.00,0.00,0.00,1599145063072,1599145084759,1599145086129,facão ,afiar,,,1599145084759
149,24,5,38.00,100.00,0.00,138.00,1599229545206,1599229562273,1599229563811,bomba do cloro ,refeito bomba reserva quebrada para funcionar durante a ida da bomba oficial para conserto ,aplainado rotor desbalanceado/ trocado rolamento motor / trocado selo / usinado saída de PVC quebrada / adaptado em suporte ( bomba horizontal colocada na vertical ) trocado oring de carcaça / trocado parafusos e tampas de motor / refeito ligações de motor / instalação no local .,,1599229562273
150,19,5,12.00,25.00,0.00,37.00,1599230716813,1599230759103,1599230760557,cabo de extensão,tomadas quebradas ,trocar por novas padrão 3 pinos ,,1599230759103
151,4,5,0.00,0.00,0.00,0.00,1599230989568,1599231019709,1599231021096,água 5 litros ,baixa produção ,normal / sem defeito / produzindo clorado material viscoso ,,1599231019709
152,4,5,0.00,0.00,0.00,0.00,1599231849151,1599231863496,1599231865050,bomba pneumática ,manqueira silicone de saída estourou,troca de mangueira por material pvc,,1599231863496
153,3,5,0.00,0.00,0.00,0.00,1603450188314,1603450211764,1603709777076,linha de ar comprimido ,"vazamentos mangueira de alimentação principal com 9 imendas ( remendos )
",trocar por nova ,,1603450211764
154,3,5,0.00,0.00,0.00,0.00,1603475786244,1603475806249,1603475808137,sensor calha de tampas ,intermitência ,ajuste de foco ( sensor indutivo ) ,,1603475806249
155,3,5,0.00,0.00,0.00,0.00,1603475892928,1603475938849,1603475940470,cabeça de torque ,espanando rosca da rampa ,lubrificação ,,1603475938849
156,4,5,0.00,0.00,0.00,0.00,1603709931749,1603709946437,1603709947873,rede de acionamento pneumático ,vazamento ,mangueira vencida ( quebradiça )cortar pedaço com rachadura .,,1603709946437
157,4,5,0.00,0.00,0.00,0.00,1603710097297,1603710108828,1603710110235,ventilador ,não liga ,queimado ( goteira ) descarte. comprar novo ,,1603710108828
